datetime,portfolio_value,cash,positions,return
2023-08-17 15:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-17 16:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-17 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-17 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-17 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-17 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-18 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-18 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-18 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-18 14:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-18 15:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-18 16:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-18 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-18 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-18 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-18 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-21 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-21 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-21 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-21 14:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-21 15:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-21 16:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-21 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-21 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-21 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-21 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-22 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-22 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-22 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-22 14:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-22 15:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-22 16:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-22 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-22 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-22 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-22 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-23 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-23 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-23 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-23 14:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-23 15:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-23 16:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
